Time,Time Code,Country,Country Code,"GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]"
2006Q4,2006Q4,Argentina,ARG,88606.7958558544
2006Q4,2006Q4,Brazil,BRA,442361.12457222
2006Q4,2006Q4,China,CHN,1010891.45397461
2006Q4,2006Q4,India,IND,291320.565484837
2006Q4,2006Q4,Indonesia,IDN,145551.960301835
2006Q4,2006Q4,Mexico,MEX,251811.8475335
2006Q4,2006Q4,Poland,POL,104687.296860147
2006Q4,2006Q4,South Africa,ZAF,82457.4296420091
2006Q4,2006Q4,Korea Rep.,KOR,247937.945480616
2006Q4,2006Q4,Turkey,TUR,173022.321307699
2007Q1,2007Q1,Argentina,ARG,90672.1242920181
2007Q1,2007Q1,Brazil,BRA,451508.158285913
2007Q1,2007Q1,China,CHN,1056376.96037248
2007Q1,2007Q1,India,IND,299474.09008295
2007Q1,2007Q1,Indonesia,IDN,148085.235672723
2007Q1,2007Q1,Mexico,MEX,253591.436074275
2007Q1,2007Q1,Poland,POL,109398.215084892
2007Q1,2007Q1,South Africa,ZAF,83796.4335862778
2007Q1,2007Q1,Korea Rep.,KOR,252088.534778182
2007Q1,2007Q1,Turkey,TUR,179146.959810532
2007Q2,2007Q2,Argentina,ARG,92645.8439250573
2007Q2,2007Q2,Brazil,BRA,459479.461716277
2007Q2,2007Q2,China,CHN,1090950.30694729
2007Q2,2007Q2,India,IND,304115.380281415
2007Q2,2007Q2,Indonesia,IDN,150126.951016892
2007Q2,2007Q2,Mexico,MEX,255560.743412018
2007Q2,2007Q2,Poland,POL,110711.026919047
2007Q2,2007Q2,South Africa,ZAF,84483.1854155013
2007Q2,2007Q2,Korea Rep.,KOR,256450.399646818
2007Q2,2007Q2,Turkey,TUR,176460.054714119
2007Q3,2007Q3,Argentina,ARG,93875.8115025061
2007Q3,2007Q3,Brazil,BRA,463030.684789035
2007Q3,2007Q3,China,CHN,1116692.3574601
2007Q3,2007Q3,India,IND,310475.382671078
2007Q3,2007Q3,Indonesia,IDN,152227.239859872
2007Q3,2007Q3,Mexico,MEX,257162.759575712
2007Q3,2007Q3,Poland,POL,112593.09259724
2007Q3,2007Q3,South Africa,ZAF,85473.1715746067
2007Q3,2007Q3,Korea Rep.,KOR,259460.695098244
2007Q3,2007Q3,Turkey,TUR,173947.601815901
2007Q4,2007Q4,Argentina,ARG,96756.3014173532
2007Q4,2007Q4,Brazil,BRA,471674.890457028
2007Q4,2007Q4,China,CHN,1151966.68238888
2007Q4,2007Q4,India,IND,322896.147381402
2007Q4,2007Q4,Indonesia,IDN,154039.146035093
2007Q4,2007Q4,Mexico,MEX,258172.844811219
2007Q4,2007Q4,Poland,POL,114056.814583882
2007Q4,2007Q4,South Africa,ZAF,86684.2931197037
2007Q4,2007Q4,Korea Rep.,KOR,265057.128811285
2007Q4,2007Q4,Turkey,TUR,182786.509995967
2008Q1,2008Q1,Argentina,ARG,97630.055227773
2008Q1,2008Q1,Brazil,BRA,479189.581654716
2008Q1,2008Q1,China,CHN,1180429.62501984
2008Q1,2008Q1,India,IND,326117.198175443
2008Q1,2008Q1,Indonesia,IDN,157741.686680983
2008Q1,2008Q1,Mexico,MEX,257685.883795796
2008Q1,2008Q1,Poland,POL,116337.952249656
2008Q1,2008Q1,South Africa,ZAF,87048.4855911786
2008Q1,2008Q1,Korea Rep.,KOR,266123.705069343
2008Q1,2008Q1,Turkey,TUR,190149.417177104
2008Q2,2008Q2,Argentina,ARG,98243.7189468782
2008Q2,2008Q2,Brazil,BRA,488514.084090421
2008Q2,2008Q2,China,CHN,1207220.64519899
2008Q2,2008Q2,India,IND,328278.824032878
2008Q2,2008Q2,Indonesia,IDN,161640.530144714
2008Q2,2008Q2,Mexico,MEX,259594.666075357
2008Q2,2008Q2,Poland,POL,116803.29004287
2008Q2,2008Q2,South Africa,ZAF,88111.2324256748
2008Q2,2008Q2,Korea Rep.,KOR,267516.790818839
2008Q2,2008Q2,Turkey,TUR,180535.735395042
2008Q3,2008Q3,Argentina,ARG,98964.5689520028
2008Q3,2008Q3,Brazil,BRA,495769.966735176
2008Q3,2008Q3,China,CHN,1221790.00967141
2008Q3,2008Q3,India,IND,330248.629333259
2008Q3,2008Q3,Indonesia,IDN,164866.531173058
2008Q3,2008Q3,Mexico,MEX,260395.363595333
2008Q3,2008Q3,Poland,POL,116336.097219327
2008Q3,2008Q3,South Africa,ZAF,88321.8622596047
2008Q3,2008Q3,Korea Rep.,KOR,269699.409603211
2008Q3,2008Q3,Turkey,TUR,174951.556777732
2008Q4,2008Q4,Argentina,ARG,94283.7644227152
2008Q4,2008Q4,Brazil,BRA,476261.347741521
2008Q4,2008Q4,China,CHN,1234457.70778441
2008Q4,2008Q4,India,IND,329336.138943356
2008Q4,2008Q4,Indonesia,IDN,165127.806069779
2008Q4,2008Q4,Mexico,MEX,256229.417629484
2008Q4,2008Q4,Poland,POL,116568.766115934
2008Q4,2008Q4,South Africa,ZAF,87819.0224405491
2008Q4,2008Q4,Korea Rep.,KOR,260842.779421196
2008Q4,2008Q4,Turkey,TUR,173348.991425872
2009Q1,2009Q1,Argentina,ARG,90845.1174464906
2009Q1,2009Q1,Brazil,BRA,468408.356792498
2009Q1,2009Q1,China,CHN,1258360.05548287
2009Q1,2009Q1,India,IND,326909.60889663
2009Q1,2009Q1,Indonesia,IDN,165975.458250357
2009Q1,2009Q1,Mexico,MEX,243173.189485935
2009Q1,2009Q1,Poland,POL,118550.419440852
2009Q1,2009Q1,South Africa,ZAF,86452.9115779975
2009Q1,2009Q1,Korea Rep.,KOR,261077.503288257
2009Q1,2009Q1,Turkey,TUR,166329.858338524
2009Q2,2009Q2,Argentina,ARG,88874.2652295363
2009Q2,2009Q2,Brazil,BRA,477769.831878622
2009Q2,2009Q2,China,CHN,1305286.84024427
2009Q2,2009Q2,India,IND,343904.142969336
2009Q2,2009Q2,Indonesia,IDN,168323.606652632
2009Q2,2009Q2,Mexico,MEX,239491.927081781
2009Q2,2009Q2,Poland,POL,118550.419440852
2009Q2,2009Q2,South Africa,ZAF,86156.2918549693
2009Q2,2009Q2,Korea Rep.,KOR,264557.085869037
2009Q2,2009Q2,Turkey,TUR,169593.139546748
2009Q3,2009Q3,Argentina,ARG,92311.9916744072
2009Q3,2009Q3,Brazil,BRA,489554.86419972
2009Q3,2009Q3,China,CHN,1349759.81497338
2009Q3,2009Q3,India,IND,352602.054308366
2009Q3,2009Q3,Indonesia,IDN,171566.332144914
2009Q3,2009Q3,Mexico,MEX,247274.814637388
2009Q3,2009Q3,Poland,POL,119261.720514696
2009Q3,2009Q3,South Africa,ZAF,86356.0270423166
2009Q3,2009Q3,Korea Rep.,KOR,272474.419070891
2009Q3,2009Q3,Turkey,TUR,172256.10003585
2009Q4,2009Q4,Argentina,ARG,94060.4438770604
2009Q4,2009Q4,Brazil,BRA,501691.1366998
2009Q4,2009Q4,China,CHN,1381667.32627137
2009Q4,2009Q4,India,IND,357823.409871361
2009Q4,2009Q4,Indonesia,IDN,174181.114992787
2009Q4,2009Q4,Mexico,MEX,251536.827742334
2009Q4,2009Q4,Poland,POL,122123.997959579
2009Q4,2009Q4,South Africa,ZAF,86931.8869331103
2009Q4,2009Q4,Korea Rep.,KOR,274509.442074333
2009Q4,2009Q4,Turkey,TUR,175946.960094095
2010Q1,2010Q1,Argentina,ARG,96923.9090725865
2010Q1,2010Q1,Brazil,BRA,510729.101094757
2010Q1,2010Q1,China,CHN,1412950.49537297
2010Q1,2010Q1,India,IND,369736.617387721
2010Q1,2010Q1,Indonesia,IDN,176351.182687217
2010Q1,2010Q1,Mexico,MEX,254214.147134673
2010Q1,2010Q1,Poland,POL,121391.260979713
2010Q1,2010Q1,South Africa,ZAF,87921.6136958684
2010Q1,2010Q1,Korea Rep.,KOR,279887.292699403
2010Q1,2010Q1,Turkey,TUR,178950.273334119
2010Q2,2010Q2,Argentina,ARG,101288.922645368
2010Q2,2010Q2,Brazil,BRA,518387.98562908
2010Q2,2010Q2,China,CHN,1446500.89692554
2010Q2,2010Q2,India,IND,379176.874282548
2010Q2,2010Q2,Indonesia,IDN,179558.769620165
2010Q2,2010Q2,Mexico,MEX,256919.762164246
2010Q2,2010Q2,Poland,POL,123212.145009471
2010Q2,2010Q2,South Africa,ZAF,88521.4677487784
2010Q2,2010Q2,Korea Rep.,KOR,285204.59532729
2010Q2,2010Q2,Turkey,TUR,183573.25521694
2010Q3,2010Q3,Argentina,ARG,101769.820610536
2010Q3,2010Q3,Brazil,BRA,523922.791396823
2010Q3,2010Q3,China,CHN,1482868.87486721
2010Q3,2010Q3,India,IND,386054.983996812
2010Q3,2010Q3,Indonesia,IDN,182253.451971331
2010Q3,2010Q3,Mexico,MEX,259272.578907134
2010Q3,2010Q3,Poland,POL,124937.117100748
2010Q3,2010Q3,South Africa,ZAF,89505.6174900717
2010Q3,2010Q3,Korea Rep.,KOR,288499.321821183
2010Q3,2010Q3,Turkey,TUR,187821.677766964
2010Q4,2010Q4,Argentina,ARG,103177.420074916
2010Q4,2010Q4,Brazil,BRA,530572.322574704
2010Q4,2010Q4,China,CHN,1518200.71735304
2010Q4,2010Q4,India,IND,397026.928039711
2010Q4,2010Q4,Indonesia,IDN,185319.791300002
2010Q4,2010Q4,Mexico,MEX,261399.237593398
2010Q4,2010Q4,Poland,POL,126186.480027177
2010Q4,2010Q4,South Africa,ZAF,90462.9197094293
2010Q4,2010Q4,Korea Rep.,KOR,292017.048034141
2010Q4,2010Q4,Turkey,TUR,194502.169117163
2011Q1,2011Q1,Argentina,ARG,105651.935821145
2011Q1,2011Q1,Brazil,BRA,536301.234757149
2011Q1,2011Q1,China,CHN,1556729.20916558
2011Q1,2011Q1,India,IND,407723.801403796
2011Q1,2011Q1,Indonesia,IDN,187930.677893096
2011Q1,2011Q1,Mexico,MEX,263425.619301855
2011Q1,2011Q1,Poland,POL,127826.910828841
2011Q1,2011Q1,South Africa,ZAF,91322.9482985853
2011Q1,2011Q1,Korea Rep.,KOR,294741.948814498
2011Q1,2011Q1,Turkey,TUR,199515.102609944
2011Q2,2011Q2,Argentina,ARG,106638.103886311
2011Q2,2011Q2,Brazil,BRA,542945.220037467
2011Q2,2011Q2,China,CHN,1591872.97259997
2011Q2,2011Q2,India,IND,411093.321308996
2011Q2,2011Q2,Indonesia,IDN,190693.957330637
2011Q2,2011Q2,Mexico,MEX,264717.83274471
2011Q2,2011Q2,Poland,POL,129488.640126873
2011Q2,2011Q2,South Africa,ZAF,91847.9665053269
2011Q2,2011Q2,Korea Rep.,KOR,296188.515951425
2011Q2,2011Q2,Turkey,TUR,203867.854550003
2011Q3,2011Q3,Argentina,ARG,107484.064383977
2011Q3,2011Q3,Brazil,BRA,542837.999351251
2011Q3,2011Q3,China,CHN,1623143.93060426
2011Q3,2011Q3,India,IND,410561.019263173
2011Q3,2011Q3,Indonesia,IDN,193342.878377447
2011Q3,2011Q3,Mexico,MEX,269814.498134313
2011Q3,2011Q3,Poland,POL,131172.011445407
2011Q3,2011Q3,South Africa,ZAF,92121.8890479746
2011Q3,2011Q3,Korea Rep.,KOR,297747.426122912
2011Q3,2011Q3,Turkey,TUR,209272.450666515
2011Q4,2011Q4,Argentina,ARG,107591.503801087
2011Q4,2011Q4,Brazil,BRA,544588.654348597
2011Q4,2011Q4,China,CHN,1650540.33607564
2011Q4,2011Q4,India,IND,421733.991249864
2011Q4,2011Q4,Indonesia,IDN,196220.55388747
2011Q4,2011Q4,Mexico,MEX,271728.180390078
2011Q4,2011Q4,Poland,POL,132221.374620462
2011Q4,2011Q4,South Africa,ZAF,92824.2046580304
2011Q4,2011Q4,Korea Rep.,KOR,299153.681463307
2011Q4,2011Q4,Turkey,TUR,211560.852507501
2012Q1,2012Q1,Argentina,ARG,106425.611458977
2012Q1,2012Q1,Brazil,BRA,544485.130927423
2012Q1,2012Q1,China,CHN,1682247.32584874
2012Q1,2012Q1,India,IND,431974.331688161
2012Q1,2012Q1,Indonesia,IDN,199493.265928138
2012Q1,2012Q1,Mexico,MEX,273438.617154003
2012Q1,2012Q1,Poland,POL,132353.597060008
2012Q1,2012Q1,South Africa,ZAF,93195.4008308798
2012Q1,2012Q1,Korea Rep.,KOR,301775.795192744
2012Q1,2012Q1,Turkey,TUR,210739.900704654
2012Q2,2012Q2,Argentina,ARG,102720.02061162
2012Q2,2012Q2,Brazil,BRA,548522.544353193
2012Q2,2012Q2,China,CHN,1715165.91592598
2012Q2,2012Q2,India,IND,431509.166837307
2012Q2,2012Q2,Indonesia,IDN,202426.871551282
2012Q2,2012Q2,Mexico,MEX,275722.420147541
2012Q2,2012Q2,Poland,POL,132088.877361609
2012Q2,2012Q2,South Africa,ZAF,94032.0837487874
2012Q2,2012Q2,Korea Rep.,KOR,303476.439071163
2012Q2,2012Q2,Turkey,TUR,214287.094488389
2012Q3,2012Q3,Argentina,ARG,105995.497843729
2012Q3,2012Q3,Brazil,BRA,556974.492239006
2012Q3,2012Q3,China,CHN,1746406.16824729
2012Q3,2012Q3,India,IND,438289.448067474
2012Q3,2012Q3,Indonesia,IDN,204971.821178474
2012Q3,2012Q3,Mexico,MEX,277414.016157893
2012Q3,2012Q3,Poland,POL,132617.251833588
2012Q3,2012Q3,South Africa,ZAF,94313.2693891569
2012Q3,2012Q3,Korea Rep.,KOR,304789.864856196
2012Q3,2012Q3,Turkey,TUR,217675.229035772
2012Q4,2012Q4,Argentina,ARG,107837.910383226
2012Q4,2012Q4,Brazil,BRA,558458.944153334
2012Q4,2012Q4,China,CHN,1782382.27700326
2012Q4,2012Q4,India,IND,445084.499480535
2012Q4,2012Q4,Indonesia,IDN,207584.423151746
2012Q4,2012Q4,Mexico,MEX,279773.251179471
2012Q4,2012Q4,Poland,POL,132086.781864386
2012Q4,2012Q4,South Africa,ZAF,94723.5047122605
2012Q4,2012Q4,Korea Rep.,KOR,306327.494896047
2012Q4,2012Q4,Turkey,TUR,220581.054202137
2013Q1,2013Q1,Argentina,ARG,107664.356251776
2013Q1,2013Q1,Brazil,BRA,557906.203029568
2013Q1,2013Q1,China,CHN,1815121.0094113
2013Q1,2013Q1,India,IND,453277.922754515
2013Q1,2013Q1,Indonesia,IDN,210644.668826137
2013Q1,2013Q1,Mexico,MEX,280554.003725884
2013Q1,2013Q1,Poland,POL,132350.951924168
2013Q1,2013Q1,South Africa,ZAF,95116.1010837543
2013Q1,2013Q1,Korea Rep.,KOR,309028.465566112
2013Q1,2013Q1,Turkey,TUR,228568.226025028
2013Q2,2013Q2,Argentina,ARG,108380.562113089
2013Q2,2013Q2,Brazil,BRA,570931.667772228
2013Q2,2013Q2,China,CHN,1846150.28032702
2013Q2,2013Q2,India,IND,458800.244771526
2013Q2,2013Q2,Indonesia,IDN,213707.040083729
2013Q2,2013Q2,Mexico,MEX,278759.163146502
2013Q2,2013Q2,Poland,POL,133806.80720812
2013Q2,2013Q2,South Africa,ZAF,96124.3746853375
2013Q2,2013Q2,Korea Rep.,KOR,312663.99537571
2013Q2,2013Q2,Turkey,TUR,234552.618911539
,,,,
,,,,
,,,,
Data from database: Global Economic Monitor (GEM),,,,
Last Updated: 07/27/2020,,,,
